,mean,std
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.001,0.0029999999999999996
184,0.001,0.0029999999999999996
185,0.001,0.0029999999999999996
186,0.001,0.0029999999999999996
187,0.001,0.0029999999999999996
188,0.001,0.0029999999999999996
189,0.001,0.0029999999999999996
190,0.001,0.0029999999999999996
191,0.001,0.0029999999999999996
192,0.001,0.0029999999999999996
193,0.001,0.0029999999999999996
194,0.003,0.006403124237432849
195,0.003,0.006403124237432849
196,0.003,0.006403124237432849
197,0.004,0.0066332495807108
198,0.006,0.0066332495807108005
199,0.006999999999999999,0.0078102496759066544
200,0.006999999999999999,0.0078102496759066544
201,0.011,0.012206555615733703
202,0.012,0.013266499161421603
203,0.012,0.01469693845669907
204,0.012,0.01469693845669907
205,0.014000000000000002,0.014282856857085701
206,0.015000000000000003,0.013601470508735447
207,0.017,0.012688577540449521
208,0.023,0.01676305461424021
209,0.026999999999999996,0.015524174696260025
210,0.027999999999999997,0.014000000000000002
211,0.033999999999999996,0.01743559577416269
212,0.038,0.01720465053408525
213,0.045,0.016278820596099704
214,0.048,0.018330302779823362
215,0.053000000000000005,0.020999999999999998
216,0.06,0.019999999999999997
217,0.062,0.019899748742132396
218,0.063,0.021
219,0.08299999999999999,0.029
220,0.08799999999999998,0.033999999999999996
221,0.101,0.042532340636273466
222,0.11099999999999999,0.04369210454990695
223,0.125,0.04652956049652736
224,0.147,0.05478138369920935
225,0.158,0.05344155686354955
226,0.16999999999999998,0.05813776741499454
227,0.184,0.06167657578043711
228,0.203,0.06664082832618454
229,0.22000000000000003,0.0670820393249937
230,0.238,0.07025667228100117
231,0.263,0.07197916365171243
232,0.29,0.07099295739719537
233,0.31399999999999995,0.07977468270071651
234,0.341,0.06876772498781678
235,0.372,0.07110555533852474
236,0.396,0.06560487786742693
237,0.42200000000000004,0.06645299090334461
238,0.454,0.06755738301621818
239,0.45899999999999996,0.05923681287847957
240,0.48,0.052153619241621256
241,0.492,0.05912698199637796
242,0.5119999999999999,0.05400000000000003
243,0.5279999999999999,0.0457820925690384
244,0.532,0.058787753826796324
245,0.547,0.057628118136895674
246,0.5650000000000001,0.0538980519128475
247,0.581,0.05647123161398201
248,0.587,0.05640035460881431
249,0.5970000000000001,0.05797413216254296
250,0.608,0.05793099343184096
251,0.6020000000000001,0.05075431016179811
252,0.6020000000000001,0.05400000000000003
253,0.6000000000000001,0.047958315233127206
254,0.599,0.055578772926361035
255,0.589,0.05664803615307418
256,0.591,0.05485435260760992
257,0.584,0.05517245689653492
258,0.5820000000000001,0.054369108876272734
259,0.587,0.04817675788178361
260,0.5970000000000001,0.05292447448959699
261,0.601,0.05467174773134661
262,0.603,0.040999999999999974
263,0.6020000000000001,0.046432747064975605
264,0.6130000000000001,0.04473253849269007
265,0.6120000000000001,0.044226688774991925
266,0.612,0.04935585071701229
267,0.607,0.053113086899557994
268,0.6050000000000002,0.05162363799656124
269,0.605,0.06103277807866853
270,0.6020000000000001,0.05844655678480984
271,0.613,0.05586591089385371
272,0.614,0.057654141221598294
273,0.6140000000000001,0.047370877129308056
274,0.6110000000000001,0.04369210454990696
275,0.614,0.05642694391866355
276,0.607,0.0558659108938537
277,0.623,0.06132699242584785
278,0.6210000000000002,0.059573484034425944
279,0.6210000000000001,0.057523908073078625
280,0.612,0.05362835071116769
281,0.613,0.052735187493740836
282,0.611,0.05412023651093923
283,0.613,0.05514526271584894
284,0.6010000000000001,0.051468436929831066
285,0.605,0.05518151864528556
286,0.6059999999999999,0.04565084884205327
287,0.6110000000000001,0.05243090691567333
288,0.6130000000000001,0.052924474489596994
289,0.607,0.05866003750424987
290,0.611,0.054671747731346566
291,0.601,0.04414748010928824
292,0.601,0.04459820624195552
293,0.5990000000000001,0.04678675026115835
294,0.6020000000000001,0.04190465367951392
295,0.61,0.044271887242357325
296,0.6130000000000001,0.03899999999999999
297,0.6060000000000001,0.03979949748426482
298,0.6050000000000001,0.03584689665786985
299,0.603,0.04050925820105822
300,0.614,0.04386342439892262
301,0.613,0.04733920151417854
302,0.6119999999999999,0.052877216265609164
303,0.6100000000000001,0.05603570290448764
304,0.614,0.055533773507659305
305,0.61,0.061644140029689806
306,0.607,0.052545218621678595
307,0.607,0.04960846701924987
308,0.609,0.044373415464667554
309,0.613,0.049406477308142516
310,0.6140000000000001,0.0424735211631906
311,0.619,0.03726929030716848
312,0.619,0.032078029864690896
313,0.623,0.03132091952673167
314,0.623,0.03001666203960729
315,0.615,0.034132096331752064
316,0.6250000000000002,0.03930648801406713
317,0.627,0.04050925820105818
318,0.624,0.035832945734337825
319,0.627,0.029681644159311658
320,0.624,0.036660605559646724
321,0.625,0.04674398357008099
322,0.6270000000000001,0.05273518749374085
323,0.6239999999999999,0.053702886328390244
324,0.6250000000000001,0.0482182538049648
325,0.633,0.04075536774462968
326,0.6330000000000001,0.037960505792204634
327,0.628,0.032496153618543855
